func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetIntegerui64i_vNV,-1,0,void,N/A,N/A,out,fixed,N/A
glGetIntegerui64i_vNV,0,0,GLenum,value,N/A,in,fixed,??
glGetIntegerui64i_vNV,1,0,GLuint,index,N/A,in,fixed,??
glGetIntegerui64i_vNV,2,0,GLuint64EXT,result,???,in,fixed,??
