func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetProcAddressREGAL,-1,1,"void *",N/A,???,out,???,???
glGetProcAddressREGAL,0,1,"const GLchar *",name,???,???,???,???
